riwayah_a,riwayah_b,shared_words,same_spelling,same_qiraah,same_pointed,same_rasm
hafs,shubah,77433,76793,76794,77324,77425
hafs,warsh,77431,31994,58532,77198,77181
hafs,qalun,77431,31312,59601,77243,77190
hafs,duri,77432,54803,57350,77225,77408
hafs,susi,77432,55767,56393,77202,77407
hafs,bazzi,77432,65040,65080,77220,77410
shubah,warsh,77431,32027,58554,77210,77181
shubah,qalun,77431,31350,59659,77255,77190
shubah,duri,77432,54854,57397,77241,77412
shubah,susi,77432,55832,56453,77218,77411
shubah,bazzi,77432,65112,65151,77240,77412
warsh,qalun,77431,65994,67755,77378,77412
warsh,duri,77431,29300,59126,77198,77179
warsh,susi,77431,30388,60515,77217,77178
warsh,bazzi,77431,28815,49455,77204,77181
qalun,duri,77431,28510,60874,77239,77188
qalun,susi,77431,32995,65693,77216,77187
qalun,bazzi,77431,32164,55123,77245,77190
duri,susi,77432,51656,64088,77409,77431
duri,bazzi,77432,44752,47269,77303,77408
susi,bazzi,77432,51582,52173,77280,77407
