number,surah,index,riwayah,ayah,canonical_rasm_rasm_uthmani,riwayah_rasm_uthmani,same_rasm,status
1,1,1,warsh,0,بِسۡمِ,بِسْمِ,1,identical
1,1,1,qalun,0,بِسۡمِ,بِسْمِ,1,identical
2,1,2,warsh,0,ٱللَّهِ,ࡴ۬للَّهِ,1,diacritic_variant
2,1,2,qalun,0,ٱللَّهِ,ࡴ۬للَّهِ,1,diacritic_variant
2,1,2,duri,0,ٱللَّهِ,اِ۬للَّهِ,1,diacritic_variant
2,1,2,susi,0,ٱللَّهِ,ࡵ۬للَّهِ,1,diacritic_variant
3,1,3,warsh,0,ٱلرَّحۡمَٰنِ,ࡴ۬لرَّحْمَٰنِ,1,diacritic_variant
3,1,3,qalun,0,ٱلرَّحۡمَٰنِ,ࡴ۬لرَّحْمَٰنِ,1,diacritic_variant
3,1,3,duri,0,ٱلرَّحۡمَٰنِ,اِ۬لرَّحۡمَٰنِ,1,diacritic_variant
3,1,3,susi,0,ٱلرَّحۡمَٰنِ,ࡵ۬لرَّحۡمَٰنِ,1,diacritic_variant
4,1,4,warsh,0,ٱلرَّحِيمِ,ࡴ۬لرَّحِيمِ,1,diacritic_variant
4,1,4,qalun,0,ٱلرَّحِيمِ,ࡴ۬لرَّحِيمِ,1,diacritic_variant
4,1,4,duri,0,ٱلرَّحِيمِ,اِ۬لرَّحِيمِ,1,diacritic_variant
4,1,4,susi,0,ٱلرَّحِيمِ,ࡵ۬لرَّحِيمِ,1,diacritic_variant
5,1,5,warsh,1,ٱلۡحَمۡدُ,ࡴ۬لْحَمْدُ,1,diacritic_variant
5,1,5,qalun,1,ٱلۡحَمۡدُ,ࡴ۬لْحَمْدُ,1,diacritic_variant
5,1,5,duri,1,ٱلۡحَمۡدُ,اِ۬لۡحَمۡدُ,1,diacritic_variant
5,1,5,susi,1,ٱلۡحَمۡدُ,ࡵ۬لۡحَمۡدُ,1,diacritic_variant
6,1,6,warsh,1,لِلَّهِ,لِلهِ,1,diacritic_variant
6,1,6,qalun,1,لِلَّهِ,لِلهِ,1,diacritic_variant
8,1,8,warsh,1,ٱلۡعَٰلَمِينَ,ࡴ۬لْعَٰلَمِينَ,1,diacritic_variant
8,1,8,qalun,1,ٱلۡعَٰلَمِينَ,ࡴ۬لْعَٰلَمِينَ,1,diacritic_variant
8,1,8,duri,1,ٱلۡعَٰلَمِينَ,اِ۬لۡعَٰلَمِينَ,1,diacritic_variant
8,1,8,susi,1,ٱلۡعَٰلَمِينَ,ࡵ۬لۡعَٰلَمِينَ,1,diacritic_variant
9,1,9,warsh,2,ٱلرَّحۡمَٰنِ,ࡰ۬لرَّحْمَٰنِ,1,diacritic_variant
9,1,9,qalun,2,ٱلرَّحۡمَٰنِ,ࡰ۬لرَّحْمَٰنِ,1,diacritic_variant
9,1,9,duri,2,ٱلرَّحۡمَٰنِ,اَ۬لرَّحۡمَٰنِ,1,diacritic_variant
9,1,9,susi,2,ٱلرَّحۡمَٰنِ,ࡱ۬لرَّحۡمَٰنِ,1,diacritic_variant
10,1,10,warsh,2,ٱلرَّحِيمِ,ࡴ۬لرَّحِيمِ,1,diacritic_variant
10,1,10,qalun,2,ٱلرَّحِيمِ,ࡴ۬لرَّحِيمِ,1,diacritic_variant
10,1,10,duri,2,ٱلرَّحِيمِ,اِ۬لرَّحِيمِ,1,diacritic_variant
10,1,10,susi,2,ٱلرَّحِيمِ,ࡵ۬لرَّحِيم,1,diacritic_variant
11,1,11,warsh,3,مَٰلِكِ,مَلِكِ,1,dotting_variant
11,1,11,qalun,3,مَٰلِكِ,مَلِكِ,1,dotting_variant
11,1,11,duri,3,مَٰلِكِ,مَلِكِ,1,dotting_variant
11,1,11,susi,3,مَٰلِكِ,مَّلِكِ,1,dotting_variant
11,1,11,bazzi,4,مَٰلِكِ,مَلِكِ,1,dotting_variant
12,1,12,warsh,3,يَوۡمِ,يَوْمِ,1,identical
12,1,12,qalun,3,يَوۡمِ,يَوْمِ,1,identical
13,1,13,warsh,3,ٱلدِّينِ,ࡴ۬لدِّينِ,1,diacritic_variant
13,1,13,qalun,3,ٱلدِّينِ,ࡴ۬لدِّينِ,1,diacritic_variant
13,1,13,duri,3,ٱلدِّينِ,اِ۬لدِّينِ,1,diacritic_variant
13,1,13,susi,3,ٱلدِّينِ,ࡵ۬لدِّينِ,1,diacritic_variant
15,1,15,warsh,4,نَعۡبُدُ,نَعْبُدُ,1,identical
15,1,15,qalun,4,نَعۡبُدُ,نَعْبُدُ,1,identical
17,1,17,warsh,4,نَسۡتَعِينُ,نَسْتَعِينُ,1,identical
17,1,17,qalun,4,نَسۡتَعِينُ,نَسْتَعِينُ,1,identical
18,1,18,warsh,5,ٱهۡدِنَا,ࡲٜهْدِنَا,1,diacritic_variant
18,1,18,qalun,5,ٱهۡدِنَا,ࡲٜهْدِنَا,1,diacritic_variant
18,1,18,duri,5,ٱهۡدِنَا,اُ۪هۡدِنَا,1,diacritic_variant
18,1,18,susi,5,ٱهۡدِنَا,ࡲٜهۡدِنَا,1,diacritic_variant
19,1,19,warsh,5,ٱلصِّرَٰطَ,ࡰ۬لصِّرَٰطَ,1,diacritic_variant
19,1,19,qalun,5,ٱلصِّرَٰطَ,ࡰ۬لصِّرَٰطَ,1,diacritic_variant
19,1,19,duri,5,ٱلصِّرَٰطَ,اَ۬لصِّرَٰطَ,1,diacritic_variant
19,1,19,susi,5,ٱلصِّرَٰطَ,ࡱ۬لصِّرَٰطَ,1,diacritic_variant
20,1,20,warsh,5,ٱلۡمُسۡتَقِيمَ,ࡰ۬لْمُسْتَقِيمَ,1,diacritic_variant
20,1,20,qalun,5,ٱلۡمُسۡتَقِيمَ,ࡰ۬لْمُسْتَقِيمَ,1,diacritic_variant
20,1,20,duri,5,ٱلۡمُسۡتَقِيمَ,اَ۬لۡمُسۡتَقِيمَ,1,diacritic_variant
20,1,20,susi,5,ٱلۡمُسۡتَقِيمَ,ࡱ۬لۡمُسۡتَقِيمَ,1,diacritic_variant
22,1,22,warsh,6,ٱلَّذِينَ,ࡰ۬لذِينَ,1,diacritic_variant
22,1,22,qalun,6,ٱلَّذِينَ,ࡰ۬لذِينَ,1,diacritic_variant
22,1,22,duri,6,ٱلَّذِينَ,اَ۬لَّذِينَ,1,diacritic_variant
22,1,22,susi,6,ٱلَّذِينَ,ࡱ۬لَّذِينَ,1,diacritic_variant
23,1,23,warsh,6,أَنۡعَمۡتَ,أَنْعَمْتَ,1,identical
23,1,23,qalun,6,أَنۡعَمۡتَ,أَنْعَمْتَ,1,identical
24,1,24,warsh,6,عَلَيۡهِمۡ,عَلَيْهِمْ,1,diacritic_variant
24,1,24,qalun,6,عَلَيۡهِمۡ,عَلَيْهِمْ,1,diacritic_variant
24,1,24,bazzi,7,عَلَيۡهِمۡ,عَلَيۡهِمُۥ,1,diacritic_variant
25,1,25,warsh,7,غَيۡرِ,غَيْرِ,1,identical
25,1,25,qalun,7,غَيۡرِ,غَيْرِ,1,identical
26,1,26,warsh,7,ٱلۡمَغۡضُوبِ,ࡴ۬لْمَغْضُوبِ,1,diacritic_variant
