riwaya_a,riwaya_b,shared_words,same_spelling,same_reading,same_pointed,same_rasm
hafs,shuba,77432,76793,76793,77323,77384
hafs,warsh,77430,32000,58221,77212,77292
hafs,qaloun,77430,31306,59274,77243,77323
hafs,douri,77430,54821,57352,77226,77328
hafs,sousi,77430,55783,56394,77203,77305
hafs,bazzi,77431,65040,65079,77219,77321
shuba,warsh,77430,32033,58235,77224,77296
shuba,qaloun,77430,31344,59324,77255,77327
shuba,douri,77430,54871,57398,77242,77330
shuba,sousi,77430,55847,56453,77219,77307
shuba,bazzi,77431,65112,65150,77239,77329
warsh,qaloun,77431,65999,67757,77392,77392
warsh,douri,77430,29307,59073,77213,77306
warsh,sousi,77430,30384,60195,77232,77325
warsh,bazzi,77430,28809,49126,77218,77298
qaloun,douri,77430,28505,60807,77240,77333
qaloun,sousi,77430,32990,65371,77217,77310
qaloun,bazzi,77430,32158,54790,77245,77325
douri,sousi,77431,51655,64087,77408,77408
douri,bazzi,77430,44771,47269,77304,77360
sousi,bazzi,77430,51599,52174,77281,77337
