word_id,sura,word_index,aya_hafs,status,rasm,missing_in,joined_in,distinct_forms,forms
176,2,147,15,rasm_variant,يستهزي,,,2,"يَسۡتَهۡزِئُ [hafs,shuba,douri,sousi,bazzi]  ||  يَسْتَهْزِۓُ [warsh,qaloun]"
425,2,396,28,rasm_variant,فاحيكم,,,4,"فَأَحۡيَٰكُمۡ [hafs,shuba,douri,sousi]  ||  فَأَحْيٜاكُمْ [warsh]  ||  فَأَحْيَاكُمْ [qaloun]  ||  فَأَحۡيَٰكُمُۥ [bazzi]"
491,2,462,31,rasm_variant,هولا,,,4,"هَٰٓؤُلَآءِ [hafs,shuba,warsh]  ||  هَٰؤُلَآࢇ [qaloun,bazzi]  ||  هَٰٓؤُلَآ [douri]  ||  هَٰؤُلَا [sousi]"
618,2,589,40,rasm_variant,اسرءيل,,,2,"إِسۡرَٰٓءِيلَ [hafs,shuba,douri,sousi,bazzi]  ||  إِسْرَآءِيلَ [warsh,qaloun]"
690,2,661,47,rasm_variant,اسرءيل,,,2,"إِسۡرَٰٓءِيلَ [hafs,shuba,douri,sousi,bazzi]  ||  إِسْرَآءِيلَ [warsh,qaloun]"
709,2,680,48,rasm_variant,يقبل,,,3,"يُقۡبَلُ [hafs,shuba]  ||  يُقْبَلُ [warsh,qaloun]  ||  تُقۡبَلُ [douri,sousi,bazzi]"
722,2,693,49,rasm_variant,ءال,,,2,"ءَالِ [hafs,shuba,qaloun,douri,sousi,bazzi]  ||  اٰلِ [warsh]"
768,2,739,53,rasm_variant,ءاتينا,,,3,"ءَاتَيۡنَا [hafs,shuba,douri,sousi,bazzi]  ||  اٰتَيْنَا [warsh]  ||  ءَاتَيْنَا [qaloun]"
823,2,794,57,rasm_variant,الغمام,,,4,"ٱلۡغَمَامَ [hafs,shuba,bazzi]  ||  ࡲ۬لْغَمَٰمَ [warsh,qaloun]  ||  اُ۬لۡغَمَامَ [douri]  ||  ࡲ۬لۡغَمَامَ [sousi]"
854,2,825,58,rasm_variant,نغفر,,,3,"نَّغۡفِرۡ [hafs,shuba,bazzi]  ||  يُغْفَرْ [warsh,qaloun]  ||  نَّغۡفِر [douri,sousi]"
956,2,927,61,rasm_variant,النبين,,,4,"ٱلنَّبِيِّۧنَ [hafs,shuba,bazzi]  ||  ࡰ۬لنَّبِيِٕٓۑنَ [warsh,qaloun]  ||  اَ۬لنَّبِيِّۧنَ [douri]  ||  ࡱ۬لنَّبِيِّۧنَ [sousi]"
972,2,943,62,rasm_variant,ءامن,,,2,"ءَامَنَ [hafs,shuba,qaloun,douri,sousi,bazzi]  ||  اٰمَنَ [warsh]"
1132,2,1103,71,rasm_variant,الن,,,5,"ٱلَٰۡٔنَ [hafs,shuba,bazzi]  ||  ࡲ۬لَٰنَ [warsh]  ||  ࡲ۬ءَلْٰنَ [qaloun]  ||  اُ۬لَٰۡٔنَ [douri]  ||  ࡲ۬لَٰۡٔنَ [sousi]"
1142,2,1113,72,rasm_variant,فادرءتم,,,6,"فَٱدَّٰرَٰءۡتُمۡ [hafs,shuba]  ||  فَادَّٰرْٔتُمْ [warsh]  ||  فَادَّٰرَٰءْتُمْ [qaloun]  ||  فَاَدَّٰرَٰءۡتُمۡ [douri]  ||  فَاَدَّٰرَٰتُمۡ [sousi]  ||  فَٱدَّٰرَٰءۡتُمُۥ [bazzi]"
1196,2,1167,74,rasm_variant,تعملون,,,4,"تَعۡمَلُونَ [hafs,shuba,douri,sousi]  ||  تَعْمَلُونَ࣌ [warsh]  ||  تَعْمَلُونَ [qaloun]  ||  يَعۡمَلُونَ [bazzi]"
1333,2,1304,83,rasm_variant,اسرءيل,,,3,"إِسۡرَٰٓءِيلَ [hafs,shuba,douri,bazzi]  ||  إِسْرَآءِيلَ [warsh,qaloun]  ||  إِسۡرَٰٓءِيل [sousi]"
1335,2,1306,83,rasm_variant,تعبدون,,,3,"تَعۡبُدُونَ [hafs,shuba,douri,sousi]  ||  تَعْبُدُونَ [warsh,qaloun]  ||  يَعۡبُدُونَ [bazzi]"
1339,2,1310,83,rasm_variant,احسانا,,,3,"إِحۡسَانࣰا [hafs,shuba,sousi,bazzi]  ||  إِحْسَٰناࣰ [warsh,qaloun]  ||  إِحۡسَانٗا [douri]"
1421,2,1392,85,rasm_variant,يعملون,,,4,"تَعۡمَلُونَ [hafs,douri,sousi]  ||  يَعۡمَلُونَ [shuba,bazzi]  ||  يَعْمَلُونَ࣌ [warsh]  ||  يَعْمَلُونَ [qaloun]"
1436,2,1407,87,rasm_variant,ءاتينا,,,3,"ءَاتَيۡنَا [hafs,shuba,douri,sousi,bazzi]  ||  اٰتَيْنَا [warsh]  ||  ءَاتَيْنَا [qaloun]"
1738,2,1709,102,rasm_variant,هروت,,,2,"هَٰرُوتَ [hafs,shuba,douri,sousi,bazzi]  ||  هَارُوتَ [warsh,qaloun]"
1739,2,1710,102,rasm_variant,ومروت,,,3,"وَمَٰرُوتَ [hafs,shuba,douri,sousi,bazzi]  ||  وَمَارُوتَ࣌ [warsh]  ||  وَمَارُوتَ [qaloun]"
1741,2,1712,102,rasm_variant,يعلمان,,,2,"يُعَلِّمَانِ [hafs,shuba,douri,sousi,bazzi]  ||  يُعَلِّمَٰنِ [warsh,qaloun]"
1843,2,1814,106,rasm_variant,ءايه,,,2,"ءَايَةٍ [hafs,shuba,qaloun,douri,sousi,bazzi]  ||  اٰيَةٍ [warsh]"
2147,2,2118,121,rasm_variant,تلاوته,,,4,"تِلَاوَتِهِۦٓ [hafs,shuba,douri]  ||  تِلَٰوَتِهِۦٓ [warsh]  ||  تِلَٰوَتِهِۦ [qaloun]  ||  تِلَاوَتِهِۦ [sousi,bazzi]"
2158,2,2129,122,rasm_variant,اسرءيل,,,2,"إِسۡرَٰٓءِيلَ [hafs,shuba,douri,sousi,bazzi]  ||  إِسْرَآءِيلَ [warsh,qaloun]"
2188,2,2159,124,rasm_variant,ابرهم,,,3,"إِبۡرَٰهِۧمَ [hafs,shuba,douri,sousi]  ||  إِبْرَٰهِيمَ [warsh,qaloun]  ||  إِبۡرَٰهِيمَ [bazzi]"
2214,2,2185,125,rasm_variant,ابرهم,,,4,"إِبۡرَٰهِۧمَ [hafs,shuba,douri]  ||  إِبْرَٰهِيمَ [warsh,qaloun]  ||  إِبۡرَٰهِۧم [sousi]  ||  إِبۡرَٰهِيمَ [bazzi]"
2218,2,2189,125,rasm_variant,ابرهم,,,3,"إِبۡرَٰهِۧمَ [hafs,shuba,douri,sousi]  ||  إِبْرَٰهِيمَ [warsh,qaloun]  ||  إِبۡرَٰهِيمَ [bazzi]"
2229,2,2200,126,rasm_variant,ابرهم,,,3,"إِبۡرَٰهِۧمُ [hafs,shuba,douri,sousi]  ||  إِبْرَٰهِيمُ [warsh,qaloun]  ||  إِبۡرَٰهِيمُ [bazzi]"
2234,2,2205,126,rasm_variant,ءامنا,,,4,"ءَامِنࣰا [hafs,shuba,sousi,bazzi]  ||  اٰمِناࣰ [warsh]  ||  ءَامِناࣰ [qaloun]  ||  ءَامِنٗا [douri]"
2240,2,2211,126,rasm_variant,ءامن,,,2,"ءَامَنَ [hafs,shuba,qaloun,douri,sousi,bazzi]  ||  اٰمَنَ [warsh]"
2259,2,2230,127,rasm_variant,ابرهم,,,3,"إِبۡرَٰهِۧمُ [hafs,shuba,douri,sousi]  ||  إِبْرَٰهِيمُ [warsh,qaloun]  ||  إِبۡرَٰهِيمُ [bazzi]"
2308,2,2279,130,rasm_variant,ابرهم,,,3,"إِبۡرَٰهِۧمَ [hafs,shuba,douri,sousi]  ||  إِبْرَٰهِيمَ [warsh,qaloun]  ||  إِبۡرَٰهِيمَ [bazzi]"
2331,2,2302,132,rasm_variant,ووصي,,,3,"وَوَصَّىٰ [hafs,shuba,douri,sousi,bazzi]  ||  وَأَوْصٜىٰ [warsh]  ||  وَأَوْصَىٰ [qaloun]"
2333,2,2304,132,rasm_variant,ابرهم,,,3,"إِبۡرَٰهِۧمُ [hafs,shuba,douri,sousi]  ||  إِبْرَٰهِيمُ [warsh,qaloun]  ||  إِبۡرَٰهِيمُ [bazzi]"
2366,2,2337,133,rasm_variant,ابرهم,,,3,"إِبۡرَٰهِۧمَ [hafs,shuba,douri,sousi]  ||  إِبْرَٰهِيمَ [warsh,qaloun]  ||  إِبۡرَٰهِيمَ [bazzi]"
