number,surah,index,ayah_hafs,status,rasm,missing_in,written_joined_by,resegmented_in,distinct_forms,forms
425,2,396,28,alif_variant,ڡاحٮكم,,,,4,"فَأَحۡيَٰكُمۡ [hafs,shubah,duri,susi]  ||  فَأَحۡيَٰكُمُۥ [bazzi]  ||  فَأَحْيَاكُمْ [qalun]  ||  فَأَحْيٜاكُمْ [warsh]"
618,2,589,40,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
690,2,661,47,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
823,2,794,57,alif_variant,العمام,,,,4,"ٱلۡغَمَامَ [hafs,shubah,bazzi]  ||  ࡲ۬لْغَمَٰمَ [qalun,warsh]  ||  اُ۬لۡغَمَامَ [duri]  ||  ࡲ۬لۡغَمَامَ [susi]"
1333,2,1304,83,alif_variant,اسرٮل,,,,3,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri]  ||  إِسْرَآءِيلَ [qalun,warsh]  ||  إِسۡرَٰٓءِيل [susi]"
1339,2,1310,83,alif_variant,احساٮا,,,,3,"إِحۡسَانࣰا [hafs,shubah,bazzi,susi]  ||  إِحْسَٰناࣰ [qalun,warsh]  ||  إِحۡسَانٗا [duri]"
1738,2,1709,102,alif_variant,هروٮ,,,,2,"هَٰرُوتَ [hafs,shubah,bazzi,duri,susi]  ||  هَارُوتَ [qalun,warsh]"
1739,2,1710,102,alif_variant,ومروٮ,,,,2,"وَمَٰرُوتَ [hafs,shubah,bazzi,duri,susi]  ||  وَمَارُوتَ [qalun,warsh]"
1741,2,1712,102,alif_variant,ٮعلماں,,,,2,"يُعَلِّمَانِ [hafs,shubah,bazzi,duri,susi]  ||  يُعَلِّمَٰنِ [qalun,warsh]"
2147,2,2118,121,alif_variant,ٮلاوٮه,,,,4,"تِلَاوَتِهِۦٓ [hafs,shubah,duri]  ||  تِلَاوَتِهِۦ [bazzi,susi]  ||  تِلَٰوَتِهِۦ [qalun]  ||  تِلَٰوَتِهِۦٓ [warsh]"
2158,2,2129,122,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
2331,2,2302,132,rasm_variant,ووصى,,,,3,"وَوَصَّىٰ [hafs,shubah,bazzi,duri,susi]  ||  وَأَوْصَىٰ [qalun]  ||  وَأَوْصٜىٰ [warsh]"
2824,2,2795,158,alif_variant,سعاٮر,,,,2,"شَعَآئِرِ [hafs,shubah,bazzi,duri,susi]  ||  شَعَٰٓئِرِ [qalun,warsh]"
2991,2,2962,166,alif_variant,الاسٮاٮ,,,,5,"ٱلۡأَسۡبَابُ [hafs,shubah,bazzi]  ||  ࡲ۬لْأَسْبَٰبُ [qalun]  ||  ࡲ۬لَاسْبَٰبُ [warsh]  ||  اِ۬لۡأَسۡبَابُ [duri]  ||  ࡵ۬لۡأَسۡبَابُ [susi]"
3929,2,3900,210,alif_variant,العمام,,,,4,"ٱلۡغَمَامِ [hafs,shubah,bazzi]  ||  ࡰ۬لْغَمَٰمِ [qalun,warsh]  ||  اَ۬لۡغَمَامِ [duri]  ||  ࡱ۬لۡغَمَامِ [susi]"
3939,2,3910,211,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
4209,2,4180,220,alif_variant,اصلاح,,,,4,"إِصۡلَاحࣱ [hafs,shubah,bazzi,susi]  ||  إِصْلَٰحࣱ [qalun]  ||  ࡴصْلَٰحࣱ [warsh]  ||  إِصۡلَاحٞ [duri]"
